"filename", "language", "Markdown", "Python", "Swift", "JSON", "pip requirements", "XML", "YAML", "Kotlinscript", "C++", "Dart", "Properties", "CMake", "Kotlin", "HTML", "Go", "Go Module File", "Shell Script", "Go Checksum File", "comment", "blank", "total"
"/home/whx/文档/code/github/lightNovel/client/lib/core/services/device_service.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 28
"/home/whx/文档/code/github/lightNovel/client/lib/core/services/storage_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 51
"/home/whx/文档/code/github/lightNovel/client/lib/core/services/storage_service.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 28
"/home/whx/文档/code/github/lightNovel/client/lib/core/theme/app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 87
"/home/whx/文档/code/github/lightNovel/client/lib/core/theme/app_theme.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 27
"/home/whx/文档/code/github/lightNovel/client/lib/features/bookshelf/pages/bookshelf_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 26
"/home/whx/文档/code/github/lightNovel/client/lib/features/history/pages/history_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 23
"/home/whx/文档/code/github/lightNovel/client/lib/features/home/pages/home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 155
"/home/whx/文档/code/github/lightNovel/client/lib/features/home/widgets/animated_filter_chip.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 62
"/home/whx/文档/code/github/lightNovel/client/lib/features/home/widgets/search_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 116
"/home/whx/文档/code/github/lightNovel/client/lib/features/home/widgets/search_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 120
"/home/whx/文档/code/github/lightNovel/client/lib/features/home/widgets/search_result_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 123
"/home/whx/文档/code/github/lightNovel/client/lib/features/main/pages/main_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 69
"/home/whx/文档/code/github/lightNovel/client/lib/features/novel/pages/novel_detail_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 339, 0, 0, 0, 0, 0, 0, 0, 0, 18, 25, 382
"/home/whx/文档/code/github/lightNovel/client/lib/features/settings/pages/settings_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 79
"/home/whx/文档/code/github/lightNovel/client/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 36
"/home/whx/文档/code/github/lightNovel/client/lib/shared/props/novel_props.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 145
"/home/whx/文档/code/github/lightNovel/client/lib/shared/props/novel_tags.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 30
"/home/whx/文档/code/github/lightNovel/client/lib/shared/widgets/cached_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 98
"/home/whx/文档/code/github/lightNovel/client/lib/shared/widgets/novel_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 184
"/home/whx/文档/code/github/lightNovel/client/lib/shared/widgets/page_transitions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 37
